날짜,종가,오픈,고가,저가,거래량,변동 %
1995년 08월 09일,5.236,5.236,5.236,5.236,0.50K,0.06%
1995년 08월 08일,5.233,5.233,5.233,5.233,1.03K,1.08%
1995년 08월 07일,5.177,5.177,5.177,5.177,-,0.54%
1995년 08월 04일,5.149,5.149,5.149,5.149,-,-0.02%
1995년 08월 03일,5.15,5.15,5.15,5.15,-,1.10%
1995년 08월 02일,5.094,5.11,5.11,5.11,0.00K,-0.88%
1995년 08월 01일,5.139,5.139,5.139,5.139,-,2.15%
1995년 07월 31일,5.031,5.031,5.031,5.031,0.40K,-0.59%
1995년 07월 28일,5.061,5.04,5.04,5.04,0.01K,-1.06%
1995년 07월 27일,5.115,5.18,5.185,5.12,-,-1.12%
1995년 07월 26일,5.173,5.17,5.17,5.14,0.01K,0.60%
1995년 07월 25일,5.142,5.15,5.175,5.15,0.02K,-0.45%
1995년 07월 24일,5.165,5.13,5.13,5.13,0.03K,-0.27%
1995년 07월 21일,5.179,5.125,5.13,5.125,0.07K,1.23%
1995년 07월 20일,5.116,5.18,5.18,5.13,0.03K,-1.20%
1995년 07월 19일,5.178,5.39,5.41,5.36,0.05K,-2.47%
1995년 07월 18일,5.309,5.33,5.335,5.33,0.05K,-0.54%
1995년 07월 17일,5.338,5.18,5.31,5.18,0.19K,2.34%
1995년 07월 14일,5.216,5.216,5.216,5.216,0.16K,0.40%
1995년 07월 13일,5.195,5.215,5.22,5.205,0.07K,-0.86%
1995년 07월 12일,5.24,5.15,5.26,5.15,0.58K,2.14%
1995년 07월 11일,5.13,5.1,5.105,5.05,0.02K,0.10%
1995년 07월 10일,5.125,5.145,5.15,5.105,0.22K,-0.35%
1995년 07월 07일,5.143,5.115,5.155,5.09,0.47K,1.72%
1995년 07월 06일,5.056,5.07,5.08,5.025,0.15K,0.52%
1995년 07월 05일,5.03,5.025,5.045,4.98,0.95K,0.32%
1995년 06월 30일,5.014,5.28,5.285,4.98,5.07K,-5.00%
1995년 06월 29일,5.278,5.22,5.31,5.215,11.17K,1.07%
1995년 06월 28일,5.222,5.222,5.222,5.222,-,-1.66%
1995년 06월 27일,5.31,5.31,5.31,5.31,-,-0.19%
1995년 06월 26일,5.32,5.32,5.32,5.32,0.11K,-0.60%
1995년 06월 23일,5.352,5.352,5.352,5.352,0.03K,-0.04%
1995년 06월 22일,5.354,5.354,5.354,5.354,0.01K,-1.40%
1995년 06월 21일,5.43,5.44,5.44,5.44,0.00K,-0.66%
1995년 06월 20일,5.466,5.466,5.466,5.466,-,-0.51%
1995년 06월 19일,5.494,5.494,5.494,5.494,-,1.59%
1995년 06월 16일,5.408,5.408,5.408,5.408,0.02K,-0.52%
1995년 06월 15일,5.436,5.436,5.436,5.436,0.03K,2.43%
1995년 06월 14일,5.307,5.307,5.307,5.307,0.07K,-0.67%
1995년 06월 13일,5.343,5.343,5.343,5.343,-,-0.45%
1995년 06월 12일,5.367,5.39,5.39,5.39,0.01K,-0.98%
1995년 06월 09일,5.42,5.3,5.3,5.3,0.02K,2.09%
1995년 06월 08일,5.309,5.309,5.309,5.309,0.02K,-0.65%
1995년 06월 07일,5.344,5.344,5.344,5.344,0.02K,1.12%
1995년 06월 06일,5.285,5.3,5.3,5.3,0.00K,-0.60%
1995년 06월 05일,5.317,5.2,5.25,5.2,0.01K,1.86%
1995년 06월 02일,5.22,5.22,5.22,5.22,-,-2.30%
1995년 06월 01일,5.343,5.343,5.343,5.343,-,1.06%
1995년 05월 31일,5.287,5.287,5.287,5.287,0.00K,0.30%
1995년 05월 30일,5.271,5.29,5.29,5.29,0.01K,-3.00%
1995년 05월 26일,5.434,5.45,5.46,5.45,0.02K,-0.22%
1995년 05월 25일,5.446,5.495,5.51,5.48,0.03K,-0.89%
1995년 05월 24일,5.495,5.4,5.52,5.395,0.10K,2.08%
1995년 05월 23일,5.383,5.26,5.37,5.26,0.03K,2.26%
1995년 05월 22일,5.264,5.26,5.305,5.255,0.03K,-1.48%
1995년 05월 19일,5.343,5.4,5.4,5.35,0.02K,-0.19%
1995년 05월 18일,5.353,5.36,5.385,5.36,0.02K,0.07%
1995년 05월 17일,5.349,5.38,5.38,5.375,0.07K,-0.89%
1995년 05월 16일,5.397,5.37,5.4,5.305,0.02K,-0.17%
1995년 05월 15일,5.406,5.3,5.35,5.29,0.04K,1.85%
1995년 05월 12일,5.308,5.4,5.42,5.1,0.60K,-0.30%
1995년 05월 11일,5.324,5.38,5.46,5.32,0.07K,-1.35%
1995년 05월 10일,5.397,5.5,5.5,5.35,0.52K,-0.94%
1995년 05월 09일,5.448,5.92,5.93,5.435,1.13K,-9.11%
1995년 05월 08일,5.994,5.98,6.025,5.98,0.19K,-0.71%
1995년 05월 05일,6.037,6.11,6.11,5.95,0.33K,-1.07%
1995년 05월 04일,6.102,5.985,6.16,5.93,0.30K,2.38%
1995년 05월 03일,5.96,5.875,5.98,5.84,0.32K,1.03%
1995년 05월 02일,5.899,5.85,5.92,5.82,0.61K,0.82%
1995년 05월 01일,5.851,5.72,5.865,5.71,0.74K,2.25%
1995년 04월 28일,5.722,5.77,5.91,5.69,2.62K,-0.35%
1995년 04월 27일,5.742,5.59,5.742,5.56,11.85K,3.09%
1995년 04월 26일,5.57,5.57,5.57,5.57,-,-2.57%
1995년 04월 25일,5.717,5.717,5.717,5.717,-,0.92%
1995년 04월 24일,5.665,5.665,5.665,5.665,0.03K,-0.23%
1995년 04월 21일,5.678,5.678,5.678,5.678,-,-0.19%
1995년 04월 20일,5.689,5.64,5.835,5.64,0.01K,-1.74%
1995년 04월 19일,5.79,5.93,5.93,5.89,0.04K,-1.19%
1995년 04월 18일,5.86,5.64,5.85,5.61,0.03K,2.47%
1995년 04월 17일,5.719,5.57,5.68,5.54,0.03K,6.38%
1995년 04월 13일,5.376,5.376,5.376,5.376,0.02K,0.86%
1995년 04월 12일,5.33,5.33,5.33,5.31,0.04K,-0.06%
1995년 04월 11일,5.333,5.235,5.32,5.235,0.07K,1.72%
1995년 04월 10일,5.243,5.243,5.243,5.243,-,-2.53%
1995년 04월 07일,5.379,5.379,5.379,5.379,-,-0.50%
1995년 04월 06일,5.406,5.406,5.406,5.406,0.01K,0.30%
1995년 04월 05일,5.39,5.39,5.39,5.39,-,2.04%
1995년 04월 04일,5.282,5.21,5.21,5.21,0.00K,-0.04%
1995년 04월 03일,5.284,5.284,5.284,5.284,-,-0.17%
1995년 03월 31일,5.293,5.195,5.25,5.155,0.04K,1.42%
1995년 03월 30일,5.219,4.85,5.25,4.85,0.01K,9.74%
1995년 03월 29일,4.756,4.735,4.735,4.735,-,0.40%
1995년 03월 28일,4.737,4.645,4.71,4.645,0.03K,2.96%
1995년 03월 27일,4.601,4.625,4.625,4.625,0.03K,0.07%
1995년 03월 24일,4.598,4.598,4.598,4.598,0.00K,-1.52%
1995년 03월 23일,4.669,4.65,4.65,4.65,0.01K,0.58%
1995년 03월 22일,4.642,4.56,4.61,4.56,0.01K,1.46%
1995년 03월 21일,4.575,4.67,4.67,4.67,0.02K,-2.03%
1995년 03월 20일,4.67,4.66,4.66,4.65,0.01K,-0.68%
1995년 03월 17일,4.702,4.66,4.71,4.66,0.13K,-0.49%
1995년 03월 16일,4.725,4.67,4.67,4.665,-,0.02%
1995년 03월 15일,4.724,4.715,4.72,4.715,0.03K,0.92%
1995년 03월 14일,4.681,4.68,4.68,4.64,0.00K,-0.32%
1995년 03월 13일,4.696,4.7,4.705,4.7,0.01K,2.80%
1995년 03월 10일,4.568,4.59,4.59,4.515,0.11K,-0.35%
1995년 03월 09일,4.584,4.57,4.6,4.565,0.06K,1.42%
1995년 03월 08일,4.52,4.63,4.63,4.53,0.30K,-2.84%
1995년 03월 07일,4.652,4.5,4.69,4.5,0.14K,4.30%
1995년 03월 06일,4.46,4.4,4.45,4.38,0.18K,1.90%
1995년 03월 03일,4.377,4.39,4.445,4.35,0.15K,-0.45%
1995년 03월 02일,4.397,4.39,4.445,4.35,0.87K,0.50%
1995년 03월 01일,4.375,4.44,4.48,4.34,1.94K,-3.06%
1995년 02월 28일,4.513,4.48,4.555,4.48,6.59K,0.53%
1995년 02월 27일,4.489,4.625,4.64,4.43,21.51K,-2.98%
1995년 02월 24일,4.627,4.627,4.627,4.627,-,-3.64%
1995년 02월 23일,4.802,4.802,4.802,4.802,-,-0.62%
1995년 02월 22일,4.832,4.832,4.832,4.832,-,2.07%
1995년 02월 21일,4.734,4.734,4.734,4.734,-,-0.65%
1995년 02월 17일,4.765,4.765,4.765,4.765,-,1.00%
1995년 02월 16일,4.718,4.718,4.718,4.718,-,-0.02%
1995년 02월 15일,4.719,4.719,4.719,4.719,0.05K,-0.55%
1995년 02월 14일,4.745,4.745,4.745,4.745,-,0.64%
1995년 02월 13일,4.715,4.715,4.715,4.715,-,-0.65%
1995년 02월 10일,4.746,4.74,4.74,4.74,0.13K,0.02%
1995년 02월 09일,4.745,4.745,4.745,4.745,0.20K,0.89%
1995년 02월 08일,4.703,4.703,4.703,4.703,0.50K,1.18%
1995년 02월 07일,4.648,4.648,4.648,4.648,-,-0.92%
1995년 02월 06일,4.691,4.64,4.64,4.64,0.01K,0.73%
1995년 02월 03일,4.657,4.665,4.665,4.665,0.10K,-0.85%
1995년 02월 02일,4.697,4.697,4.697,4.697,-,0.90%
1995년 02월 01일,4.655,4.655,4.655,4.655,-,0.13%
1995년 01월 31일,4.649,4.655,4.655,4.655,0.00K,-1.38%
1995년 01월 30일,4.714,4.714,4.714,4.714,0.00K,1.22%
1995년 01월 27일,4.657,4.635,4.635,4.635,-,-2.53%
1995년 01월 26일,4.778,4.778,4.778,4.778,-,0.15%
1995년 01월 25일,4.771,4.771,4.771,4.771,0.00K,-0.89%
1995년 01월 24일,4.814,4.814,4.814,4.814,-,0.40%
1995년 01월 23일,4.795,4.885,4.885,4.885,0.00K,-2.00%
1995년 01월 20일,4.893,4.893,4.893,4.893,-,0.37%
1995년 01월 19일,4.875,4.875,4.875,4.875,-,0.08%
1995년 01월 18일,4.871,4.871,4.871,4.871,-,0.43%
1995년 01월 17일,4.85,4.85,4.85,4.85,-,1.06%
1995년 01월 16일,4.799,4.799,4.799,4.799,-,0.13%
1995년 01월 13일,4.793,4.793,4.793,4.793,-,-0.79%
1995년 01월 12일,4.831,4.831,4.831,4.831,0.00K,2.72%
1995년 01월 11일,4.703,4.703,4.703,4.703,-,1.12%
1995년 01월 10일,4.651,4.651,4.651,4.651,-,-0.09%
1995년 01월 09일,4.655,4.655,4.655,4.655,-,0.84%
1995년 01월 06일,4.616,4.616,4.616,4.616,-,-1.66%
1995년 01월 05일,4.694,4.694,4.694,4.694,0.06K,2.15%
1995년 01월 04일,4.595,4.595,4.595,4.595,0.02K,-2.67%
1995년 01월 03일,4.721,4.815,4.815,4.815,0.02K,-3.14%
1994년 12월 30일,4.874,4.82,4.82,4.815,0.06K,0.33%
1994년 12월 29일,4.858,4.87,4.87,4.85,0.02K,-0.53%
1994년 12월 28일,4.884,4.81,4.81,4.79,-,2.20%
1994년 12월 27일,4.779,4.78,4.78,4.76,0.01K,0.46%
1994년 12월 23일,4.757,4.76,4.76,4.76,0.00K,-0.04%
1994년 12월 22일,4.759,4.77,4.78,4.77,0.19K,-0.58%
1994년 12월 21일,4.787,4.82,4.82,4.76,0.01K,-0.50%
1994년 12월 20일,4.811,4.795,4.84,4.795,0.01K,1.09%
1994년 12월 19일,4.759,4.775,4.775,4.775,0.00K,-0.27%
1994년 12월 16일,4.772,4.8,4.81,4.77,0.02K,-0.33%
1994년 12월 15일,4.788,4.74,4.77,4.73,0.03K,0.72%
1994년 12월 14일,4.754,4.73,4.76,4.73,0.04K,0.55%
1994년 12월 13일,4.728,4.8,4.81,4.73,0.04K,-0.76%
1994년 12월 12일,4.764,4.74,4.78,4.72,0.07K,1.56%
1994년 12월 09일,4.691,4.64,4.69,4.64,0.06K,0.67%
1994년 12월 08일,4.66,4.595,4.64,4.59,0.09K,0.95%
1994년 12월 07일,4.616,4.66,4.685,4.605,0.38K,-0.24%
1994년 12월 06일,4.627,4.615,4.66,4.59,1.07K,1.18%
1994년 12월 05일,4.573,4.7,4.73,4.53,0.70K,-2.47%
1994년 12월 02일,4.689,4.9,4.935,4.66,0.43K,-4.44%
1994년 12월 01일,4.907,4.88,4.91,4.86,0.68K,0.22%
1994년 11월 30일,4.896,5.045,5.07,4.84,6.04K,-2.95%
1994년 11월 29일,5.045,5.12,5.145,5.02,26.34K,-1.23%
1994년 11월 28일,5.108,5.15,5.15,5.15,-,-0.72%
1994년 11월 23일,5.145,5.145,5.145,5.145,-,0.14%
1994년 11월 22일,5.138,5.13,5.13,5.13,0.00K,-0.25%
1994년 11월 21일,5.151,5.151,5.151,5.151,0.45K,0.23%
1994년 11월 18일,5.139,5.139,5.139,5.139,-,-1.85%
1994년 11월 17일,5.236,5.26,5.26,5.26,0.02K,0.27%
1994년 11월 16일,5.222,5.2,5.2,5.2,0.01K,0.25%
1994년 11월 15일,5.209,5.209,5.209,5.209,-,0.89%
1994년 11월 14일,5.163,5.163,5.163,5.163,0.04K,0.21%
1994년 11월 11일,5.152,5.17,5.17,5.17,0.00K,-0.17%
1994년 11월 10일,5.161,5.11,5.11,5.11,0.00K,1.12%
1994년 11월 09일,5.104,5.104,5.104,5.104,0.05K,-2.00%
1994년 11월 08일,5.208,5.208,5.208,5.208,0.05K,0.40%
1994년 11월 07일,5.187,5.187,5.187,5.187,0.25K,-1.07%
